Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR5051624,2021-03-24 15:49:56,2021-04-13 16:45:25,35120217,2392049659,0,68,892,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR005/5051/ERR5051624/ERR5051624.lite.1,ERX4857956,PaC21,WGS,unspecified,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP126218,PRJEB42372,,724286,ERS5514560,SAMEA7767309,simple,9606,Homo sapiens,SAMEA7767309,,,,,,,no,,,,,UNIVERSITY OF PAVIA,ERA3206399,,public,2DB1BBAA73D5501EDC818174F2BFD54F,6DC55A8E47D1EC336E4328D5B06984CA
SRR13958476,2021-03-13 14:13:27,2021-03-13 10:27:26,486191771,97238354200,0,200,44051,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13958/SRR13958476/SRR13958476.lite.1,SRX10336733,cuizhong,WGS,RACE,GENOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-T7,SRP310487,PRJNA714182,,714182,SRS8456268,SAMN18291702,simple,9606,Homo sapiens,cuizhong19440104,,,,,male,,no,,,,,JIAWEIDU,SRA1206138,,public,5D5AD4859DFDEBA9EB9B1613FF23592C,1C61C8868F02D926C3E42D36D74F51D7
SRR14246009,2021-04-15 15:52:05,2021-04-15 15:12:45,32368754,9775363708,32368754,302,2898,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR014/14246/SRR14246009/SRR14246009.lite.1,SRX10608596,RPH6D,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP315007,PRJNA722063,,722063,SRS8709599,SAMN18744337,simple,2592666,horse metagenome,RPH6D,,,,,,,no,,,,,BEIJING FORESTRY UNIVERSITY,SRA1219143,,public,5479ECF02F9D427E7C8500E73B705965,7EF5A590D1910CC10858EDB3BDA48B53
SRR14246008,2021-04-15 15:52:05,2021-04-15 15:19:21,37030836,11183312472,37030836,302,3315,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR014/14246/SRR14246008/SRR14246008.lite.1,SRX10608597,RPH1,WGS,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP315007,PRJNA722063,,722063,SRS8709600,SAMN18744332,simple,2592666,horse metagenome,RPH1,,,,,,,no,,,,,BEIJING FORESTRY UNIVERSITY,SRA1219143,,public,46C2E0D5AA550555A4112D1D38EDE8F3,1270274AA97F286D3C7A4183207E6019
SRR14277433,2021-07-30 00:00:52,2024-01-06 17:32:18,4119412,1244062424,4119412,302,530,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR014/14277/SRR14277433/SRR14277433.lite.2,SRX10638546,Japan360x,Targeted-Capture,Hybrid Selection,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP315430,PRJNA723099,3,723099,SRS8734953,SAMN18804969,simple,160,Treponema pallidum,Japan360x,,,,,,,no,,,,,UNIVERSITY OF WASHINGTON LABORATORY MEDICINE,SRA1220591,,public,D878847426B7E88EEA0079119A87C851,FBF51CA43B4A35F4BA7C96E896631130
SRR14418035,2022-05-04 09:09:40,2021-05-04 14:10:42,48581848,14574554400,48581848,300,5668,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14418/SRR14418035/SRR14418035.lite.1,SRX10769418,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP318404,PRJNA727169,3,727169,SRS8854606,SAMN19008557,simple,3702,Arabidopsis thaliana,GSM5280060,,,,,,,no,,,,,GEO,SRA1227422,,public,FD4E288B4AB139FC2FE3EDC7ADAF6300,6033E01C854AD5435C4F783A50293A93
SRR14565212,2021-08-17 03:23:49,2021-05-17 12:35:21,64016080,19204824000,64016080,300,7956,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR014/14565/SRR14565212/SRR14565212.lite.1,SRX10909168,XBQM83_UDG,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP320070,PRJNA730407,,730407,SRS9000653,SAMN19231276,simple,646099,human metagenome,XBQM83_UDG,,,,,,,no,,,,,JILIN UNIVERSITY,SRA1232956,,public,5354212CA51C33AF25E7EFD94594C317,845DA803C9C2CE2DE95267F32E47D277
SRR15029429,2023-07-07 01:20:42,2021-07-03 15:13:51,544407,158542877,544407,291,53,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR015/15029/SRR15029429/SRR15029429.lite.1,SRX11340655,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP326667,PRJNA743286,,743286,SRS9381569,SAMN20011715,simple,9606,Homo sapiens,GSM5407865,,,,,,,no,,,,,GEO,SRA1253956,,public,443C2C979015DE42C3FCEC1602371BE4,F5D8A1F1911FEACD08D64198AD7008A2
SRR15066138,2021-07-07 19:18:35,2021-07-07 18:42:21,695306,274065818,695306,394,133,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15066/SRR15066138/SRR15066138.lite.1,SRX11376005,2021EL-00403,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP277193,PRJNA629351,,629351,SRS9421636,SAMN20110036,simple,1496,Clostridioides difficile,2021EL-00403,,,,,,,no,,,,,MINNESOTA DEPARTMENT OF HEALTH INFECTIOUS DISEASE ,SRA1256089,,public,BC80E4FBE69F28121D88D7C80B885AB8,21CEDA3FF82264AF43FFD2CB5B61932E
SRR15031305,2021-07-03 15:53:18,2021-07-03 15:49:10,16374358,4912307400,16374358,300,1936,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15031/SRR15031305/SRR15031305.lite.1,SRX11343029,Z-strain-3-PS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP323356,PRJNA700437,,700437,SRS9383238,SAMN20014348,simple,181762,Psilocybe cubensis,Z-strain-3-PS,,,,,,,no,,,,,MEDICINAL GENOMICS,SRA1254077,,public,44AFBF17744E8555ABEEA8099EF56268,395B1E7186589FB904238D706DB61C3D
